name,Symptoms,General Description,Treatment
Sialolithiasis,"Swelling, pain, tenderness, difficulty eating","The formation of salivary stones that block the ducts, causing pain and swelling.",Hydration and gland massage to expel stones. Sialogogues to stimulate saliva production. Surgical removal for large or persistent stones.
Submandibular stones,"Swelling, pain, dry mouth, bad taste","Salivary stones forming in the submandibular gland or its ducts, leading to pain and swelling during meals.",Hydration and massage of the gland. Stone removal through sialendoscopy or surgery.
Parotid stones,"Swelling, pain, dry mouth, bad taste","Salivary stones forming in the parotid gland or its ducts, often causing intermittent swelling and discomfort.",Sialogogues to increase saliva flow. Endoscopic removal of stones. Surgery in refractory cases.
Recurrent salivary stones,Frequent episodes of stone formation,"Repeated episodes of salivary stone formation, causing chronic swelling and inflammation of the glands.",Hydration and gland massage. Periodic removal of stones. Surgical intervention for recurrent obstructions.
Wharton's duct stones,"Swelling, pain, dry mouth, bad taste","alivary stones specifically located in Wharton’s duct, leading to pain and swelling.",Hydration and manual manipulation of stones. Endoscopic or surgical removal if necessary.
Mumps,"Swollen salivary glands (usually parotid), fever, headache, fatigue","A viral infection affecting the salivary glands, causing swelling, fever, and fatigue.",Supportive care with hydration and rest. Pain and fever management with analgesics and antipyretics. Vaccination for prevention.
Ludwig's angina,"Severe swelling of the floor of the mouth, fever, difficulty swallowing, drooling","A serious bacterial infection of the floor of the mouth and neck, often resulting from dental infections.",Broad-spectrum antibiotics. Airway management if swelling obstructs breathing. Surgical drainage for abscesses.
Mucocele,Painless fluid-filled swelling in the oral cavity,"A benign lesion caused by mucus accumulation in the salivary glands, often due to trauma or blockage.",Surgical removal of the lesion. Avoidance of habits like lip biting to prevent recurrence.
Abscess,"Swelling, pain, redness, fever, pus formation","A localized collection of pus caused by infection, leading to swelling, redness, and pain.",Incision and drainage of the abscess. Antibiotic therapy for severe or systemic infections. Pain management with analgesics.
Sjögren's syndrome,"Dry mouth and eyes, fatigue, joint pain, dry skin",An autoimmune disorder characterized by dry eyes and mouth due to the immune system attacking moisture-producing glands.,Artificial tears for dry eyes. Saliva substitutes or sialogogues for dry mouth. Immunosuppressive therapy for systemic symptoms.
Open-Angle Glaucoma,"Gradual loss of peripheral vision, tunnel vision",A common type of glaucoma with gradual loss of peripheral vision due to increased intraocular pressure.,Eye drops to reduce intraocular pressure. Laser therapy or surgery to improve fluid drainage.
Angle-Closure Glaucoma,"Severe eye pain, headache, blurred vision, halos around lights, nausea and vomiting","A rapid increase in intraocular pressure due to blocked drainage channels, causing pain and vision loss.",Immediate medical attention. Medications to lower pressure. Laser or surgical procedures to open drainage pathways.
Normal-Tension Glaucoma,"Gradual loss of vision, visual field defects",A form of glaucoma where optic nerve damage occurs despite normal intraocular pressure.,Lowering intraocular pressure with eye drops or laser therapy. Regular monitoring of optic nerve health.
Congenital Glaucoma,"Cloudy or hazy eyes, excessive tearing, sensitivity to light",A rare condition in infants caused by abnormal development of the eye’s drainage system.,Surgery to correct drainage abnormalities. Medications to lower pressure before surgery.
Secondary Glaucoma,Varies depending on the underlying cause,"Glaucoma resulting from an underlying condition such as injury, inflammation, or steroid use.",Treat the underlying cause. Medications or surgery to control intraocular pressure.
Pigmentary Glaucoma,"Blurred vision, halos around lights, eye pain",A type of secondary glaucoma caused by pigment dispersion blocking drainage channels.,Eye drops to reduce intraocular pressure. Laser or surgical procedures if needed.
Exfoliation Glaucoma,"Elevated intraocular pressure, visual field loss","Glaucoma caused by flaky deposits on the lens and drainage system, obstructing fluid outflow.",Medications to lower pressure. Surgery or laser therapy to improve drainage.
Ocular Hypertension,Elevated intraocular pressure without optic nerve damage,Elevated intraocular pressure without signs of optic nerve damage or vision loss.,Regular monitoring. Eye drops to lower pressure if necessary.
Low-Tension Glaucoma,"Gradual loss of vision, visual field defects",A form of glaucoma where optic nerve damage occurs at relatively low intraocular pressures.,Medications to further reduce pressure. Lifestyle changes to improve optic nerve blood flow.
Anorexia Nervosa,"Extreme weight loss, fear of gaining weight, distorted body image",An eating disorder characterized by an intense fear of gaining weight and severe restriction of food intake.,Nutritional rehabilitation. Cognitive-behavioral therapy (CBT). Medical monitoring for complications.
Bulimia Nervosa,Recurrent episodes of binge eating followed by purging behaviors,An eating disorder involving binge eating followed by compensatory behaviors like vomiting or excessive exercise.,Psychotherapy such as CBT. Nutritional counseling. Antidepressant medications if needed.
Binge Eating Disorder,Recurrent episodes of binge eating without compensatory behaviors,Recurrent episodes of consuming large amounts of food without compensatory behaviors.,CBT to address eating patterns. Nutritional counseling. Medications like lisdexamfetamine for severe cases.
Avoidant/Restrictive Food Intake Disorder (ARFID),"Avoidance or restriction of certain foods or entire food groups, significant weight loss or failure to gain weight",An eating disorder involving avoidance of food due to sensory issues or fear of adverse effects.,Nutritional therapy. CBT or other behavioral therapies. Gradual exposure to feared foods.
Other Specified Feeding or Eating Disorder (OSFED),Symptoms that do not meet the full criteria for a specific eating disorder,Eating disorders that don't meet criteria for specific diagnoses but still cause significant distress.,Tailored treatment plan based on symptoms. Psychotherapy. Nutritional counseling.
Orthorexia Nervosa,"Obsessive focus on ""clean"" eating, healthy food choices",An obsession with healthy eating to an extent that it disrupts daily life.,Psychotherapy to address obsessive thoughts. Nutritional counseling.
Pica,Persistent consumption of non-food substances,"Persistent eating of non-nutritive substances, such as dirt or chalk, often linked to deficiencies or mental health conditions.",Behavioral therapy to modify eating habits. Addressing underlying nutrient deficiencies.
Rumination Disorder,Repeated regurgitation and re-chewing of food,"A condition where food is regurgitated, re-chewed, and re-swallowed or spit out.",Behavioral therapy. Addressing any underlying stress or anxiety.
Transient ischemic attack,Sudden onset of neurological symptoms that resolve within 24 hours,"A temporary disruption of blood flow to the brain, often called a “mini-stroke.”",Antiplatelet medications like aspirin. Management of risk factors like hypertension and diabetes. Lifestyle changes to prevent recurrence.
Pyelonephritis,"Fever, chills, back or flank pain, frequent urination","A bacterial infection of the kidney, often resulting from untreated urinary tract infections.",Antibiotics to eliminate infection. Pain relief with analgesics. Hospitalization in severe cases
Rotator Cuff Injury,"Shoulder pain, weakness or loss of strength, limited range of motion, shoulder stiffness","Damage or tears to the tendons or muscles of the rotator cuff in the shoulder, often due to overuse or trauma.",Rest and physical therapy. Anti-inflammatory medications. Surgery in severe cases.
Fibromyalgia,"Widespread musculoskeletal pain, fatigue, sleep disturbances","A chronic condition characterized by widespread pain, fatigue, and tenderness in specific areas of the body.",Pain relievers like acetaminophen or antidepressants. Physical therapy. Stress management and regular exercise.
Chronic Fatigue Syndrome,"Extreme fatigue, cognitive difficulties, unrefreshing sleep",A long-term condition characterized by extreme fatigue not improved by rest and not explained by an underlying condition.,Symptom management with graded exercise therapy. Cognitive behavioral therapy. Medications for pain or sleep issues.
Complex Regional Pain Syndrome (CRPS),"Severe and persistent pain, changes in skin color or temperature, swelling, stiffness",A chronic pain condition typically affecting a limb after injury or trauma.,Physical therapy to maintain mobility. Medications such as pain relievers or nerve blocks. Psychotherapy for emotional support.
Myofascial Pain Syndrome,"Localized muscle pain, trigger points",hronic pain caused by trigger points in muscles or connective tissue.,Physical therapy and trigger point injections. Stress reduction techniques. Pain medications as needed.
Chronic Migraine,"Recurrent, disabling migraines","Headaches occurring more than 15 days a month, often with severe throbbing pain and other symptoms.",Preventive medications like beta-blockers. Acute treatments like triptans. Lifestyle changes and trigger avoidance.
Neuropathic Pain,"Shooting or burning pain, tingling or numbness","Pain resulting from damage to nerves, often described as burning, tingling, or shooting pain.",Anticonvulsants like gabapentin. Antidepressants like amitriptyline. Topical treatments or nerve blocks.
Gestational Diabetes,High blood sugar levels during pregnancy,"High blood sugar levels during pregnancy, affecting the mother and baby’s health.",Monitoring blood sugar levels. Dietary adjustments and exercise. Insulin therapy if needed.
Pregnancy-Induced Hypertension,High blood pressure during pregnancy,"High blood pressure that develops during pregnancy, typically after 20 weeks.",Monitoring blood pressure. Medications to lower blood pressure. Delivery if the condition worsens.
Gestational Hypertension,High blood pressure without proteinuria (preeclampsia),High blood pressure during pregnancy without protein in the urine or other complications.,Blood pressure monitoring. Lifestyle adjustments. Medications for severe cases.
Preeclampsia,"High blood pressure, proteinuria, swelling, headaches, visual disturbances",A pregnancy complication characterized by high blood pressure and damage to organs like the liver or kidneys.,Monitoring and medications to manage blood pressure. Delivery of the baby if necessary.
Hyperemesis Gravidarum,Severe nausea and vomiting during pregnancy,"Severe nausea and vomiting during pregnancy, leading to dehydration and weight loss.",Intravenous fluids for rehydration. Anti-nausea medications. Nutritional support if needed.
Urinary Tract Infection (UTI),"Painful urination, frequent urination, pelvic pain, cloudy urine","A bacterial infection in the urinary system, causing pain, frequent urination, and discomfort.",Antibiotics to eliminate infection. Increased fluid intake. Pain relievers for discomfort.
Anemia,"Fatigue, weakness, pale skin, shortness of breath","A condition where there are not enough healthy red blood cells to carry oxygen, common in pregnancy.",Iron and folic acid supplements. Diet rich in iron and vitamin B12.
Pregnancy-Related Back Pain,"Lower back pain, discomfort in the pelvic area","Back pain during pregnancy due to hormonal changes, weight gain, and posture changes.",Physical therapy and prenatal yoga. Use of supportive devices. Heat or cold therapy.
Round Ligament Pain,Sharp or aching pain in the lower abdomen or groin,Sharp pain or discomfort in the lower abdomen caused by stretching of the round ligament during pregnancy.,Rest and changing positions. Gentle stretches or prenatal yoga. Heat therapy for relief.
Placenta Previa,"Vaginal bleeding, painless bleeding in the third trimester","A condition where the placenta covers the cervix, potentially causing bleeding during pregnancy.",Bed rest and avoiding strenuous activities. Monitoring and potential cesarean delivery.
Carpal Tunnel Syndrome,"Tingling, numbness, and pain in the hand and fingers","Compression of the median nerve in the wrist, causing pain, numbness, and tingling.",Wrist splints for support. Physical therapy or exercises. Surgery in severe cases.
Sciatica,"Sharp pain, tingling, or numbness that radiates from the lower back through the hips and down the leg","Pain radiating along the sciatic nerve, often due to compression or inflammation during pregnancy.",Gentle stretches and physical therapy. Heat or cold packs for pain relief. Pain relievers if prescribed.
Varicose Veins,"Enlarged, swollen veins, often in the legs","Enlarged, swollen veins that often appear during pregnancy, usually in the legs.",Compression stockings. Elevation of legs. Regular movement to improve circulation.
Hemorrhoids,"Swollen, itchy, or painful veins in the rectal area","Swollen veins in the rectal area, common during pregnancy due to increased pressure and hormonal changes.",Topical creams or suppositories. High-fiber diet and hydration. Sitz baths for comfort.
Gestational Cholestasis,"Itchy skin, particularly on the hands and feet",A liver disorder during pregnancy causing itching due to impaired bile flow.,Ursodeoxycholic acid to improve bile flow. Close monitoring of mother and baby. Early delivery if necessary.
Liver Cancer,"Abdominal pain, jaundice (yellowing of the skin and eyes), unexplained weight loss, loss of appetite, fatigue, nausea, vomiting","A malignant tumor originating in the liver, often linked to hepatitis or cirrhosis.",Surgery to remove the tumor. Liver transplantation. Targeted therapy or chemotherapy.
Atelectasis,"Difficulty breathing, rapid breathing, chest pain","Partial or complete collapse of the lung, leading to difficulty breathing.",Deep breathing exercises. Positive pressure ventilation. Treatment of underlying causes.
Ectopic Pregnancy,"Vaginal bleeding, abdominal pain or cramping, shoulder pain (if the fallopian tube ruptures)","A pregnancy where the fertilized egg implants outside the uterus, often in the fallopian tube.",Medications like methotrexate to terminate pregnancy. Surgical intervention if necessary.
Choledocholithiasis,"Abdominal pain (often in the upper right quadrant), jaundice, dark urine, pale stools, nausea, vomiting, endoscopic retrograde cholangiopancreatography (ERCP) with stone removal, sphincterotomy, Cholecystectomy ","The presence of gallstones in the common bile duct, causing pain and jaundice.",Endoscopic removal of stones. Surgery to remove the gallbladder. Antibiotics if infection is present.
Cirrhosis,"Fatigue, jaundice, abdominal swelling (ascites), easy bruising and bleeding, confusion, loss of appetite, weight loss",Chronic liver damage leading to scarring and impaired liver function.,Avoid alcohol. Manage complications like ascites and encephalopathy. Liver transplant in advanced cases.
Thoracic Aortic Aneurysm,"Chest or back pain, shortness of breath, hoarseness, difficulty swallowing","A balloon-like bulge in the thoracic aorta, which can rupture if untreated.",Blood pressure control with medications. Surgical repair for large aneurysms.
Subdural hemorrhage,"Headache, confusion, dizziness, nausea or vomiting, seizures, weakness or numbness","Bleeding between the dura mater and brain, often caused by trauma.",Monitoring for small bleeds. Surgery for larger hematomas. Managing intracranial pressure.
Congenital rubella,"Developmental delays, intellectual disability, hearing loss, vision problems, heart defects, liver or spleen enlargement, rash at birth",Birth defects caused by maternal rubella infection during pregnancy.,Symptom management and supportive care. Prevention through vaccination.
Diabetic retinopathy,"Blurred or distorted vision, floaters, impaired color vision, dark or empty areas in the visual field, vision loss","A diabetes complication causing damage to the retina, potentially leading to blindness.",Laser therapy to seal leaking blood vessels. Medications injected into the eye. Tight blood sugar control.
Fibromyalgia,"Widespread musculoskeletal pain, fatigue, sleep disturbances","A chronic condition characterized by widespread pain, fatigue, and tenderness in specific areas of the body.",Pain relievers like acetaminophen or antidepressants. Physical therapy. Stress management and regular exercise.
Ischemia of the Bowel,"Severe abdominal pain, bloody stools, diarrhea, nausea, vomiting, fever, rapid heart rate, low blood pressure","Reduced blood flow to the intestines, leading to tissue damage.",Bowel rest and IV fluids. Surgery to remove damaged tissue. Treat underlying vascular conditions.
Fetal Alcohol Syndrome,"Growth deficiencies, facial abnormalities, developmental delays, intellectual disability","A condition in babies caused by alcohol consumption during pregnancy, leading to developmental issues.",Supportive care and therapies for developmental delays. Behavioral interventions.
Peritonitis,"Severe abdominal pain, tenderness, bloating, fever, nausea, vomiting, loss of appetite, increased heart rate","Inflammation of the peritoneum, usually due to infection or perforation in the abdomen.",Antibiotics to treat infection. Surgery to address underlying causes. Supportive care with fluids.
Abdominal Injury,"Abdominal pain, tenderness, bruising, swelling, difficulty breathing, nausea, vomiting, changes in bowel movements, blood in urine or stool","Trauma to the abdominal region, which can damage internal organs.",Stabilization and imaging to assess damage. Surgery for severe injuries. Pain management.
Acute Pancreatitis,"Severe upper abdominal pain, nausea, vomiting, fever, rapid pulse, swollen and tender abdomen, jaundice","Sudden inflammation of the pancreas, often caused by gallstones or alcohol use.",Fasting to rest the pancreas. IV fluids and pain relief. Treat underlying causes.
Thrombophlebitis,"Redness, warmth, swelling, and tenderness along a vein, pain or discomfort, skin discoloration, visible veins, fever","Inflammation of a vein due to a blood clot, often in the legs.",Compression stockings. Anticoagulant medications. Warm compresses for pain relief.
Asthma,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise",A chronic condition causing airway inflammation and difficulty breathing.,Inhalers for symptom relief and prevention. Avoiding triggers. Long-term control medications.
Restless Leg Syndrome,"Uncomfortable sensation in the legs, usually in the evening or at night, urge to move legs for relief","A condition causing an uncontrollable urge to move the legs, often accompanied by discomfort.",Lifestyle changes like regular exercise. Iron supplements if deficient. Medications for severe symptoms.
Emphysema,"Shortness of breath, wheezing, chronic cough, chest tightness, fatigue, weight loss","A chronic lung condition characterized by damage to air sacs, leading to shortness of breath.",Smoking cessation. Inhalers or bronchodilators. Oxygen therapy for advanced cases.
Induced Abortion,"Vaginal bleeding, cramping, abdominal pain, nausea, fatigue, emotional distress",A medical procedure to terminate a pregnancy.,Medical abortion using medications. Surgical abortion for advanced gestation. Counseling support.
Acute Sinusitis,"Facial pain or pressure, nasal congestion, thick nasal discharge, post-nasal drip, cough, headache, fatigue, fever (in some cases)","Inflammation of the sinuses, often due to infection, causing facial pain and congestion.",Decongestants and pain relievers. Antibiotics for bacterial infections. Nasal irrigation for symptom relief.
Von Hippel-Lindau Disease,"Hemangioblastomas (tumors in the brain, spinal cord, or other organs), retinal angiomas (abnormal blood vessel growth in the retina), renal cell carcinomas (kidney tumors), pheochromocytomas (adrenal gland tumors), pancreatic cysts/tumors, other tumors or cysts",A rare genetic disorder causing tumors and cysts in various parts of the body.,Regular monitoring. Surgical removal of tumors. Targeted therapy for specific growths.
Alcohol Use Disorder,"Cravings for alcohol, inability to control or limit alcohol consumption, withdrawal symptoms (such as tremors, anxiety, sweating) when attempting to stop or reduce alcohol use, continued use despite negative consequences (such as relationship problems, health issues), neglecting responsibilities, tolerance to alcohol",A chronic condition characterized by an inability to control alcohol consumption despite adverse effects.,Behavioral therapies. Medications like naltrexone or acamprosate. Support groups like AA.
Opioid Use Disorder,"Compulsive use of opioids, strong desire or cravings for opioids, inability to control or reduce opioid use, withdrawal symptoms (such as nausea, muscle aches, anxiety) when attempting to stop or reduce use, tolerance to opioids, continued use despite negative consequences (such as legal issues, health problems)","Dependence or addiction to opioids, causing significant health and social problems.",Medication-assisted therapy with methadone or buprenorphine. Behavioral counseling. Support groups.
Stimulant Use Disorder,"Increased energy and alertness, euphoria, decreased appetite, increased heart rate and blood pressure, insomnia, restlessness, irritability, paranoia, psychosis (in severe cases)","Addiction to stimulant drugs like cocaine or amphetamines, leading to physical and psychological harm.",Behavioral therapy. Support groups. Medications to manage withdrawal symptoms.
Cannabis Use Disorder,"Increased appetite, relaxation, altered perception of time, impaired memory and concentration, bloodshot eyes, anxiety or paranoia (in some individuals), withdrawal symptoms (such as irritability, insomnia) when attempting to stop or reduce cannabis use, continued use despite negative consequences (such as relationship problems, job difficulties)",Excessive use of cannabis leading to dependency and negative effects on daily functioning.,Behavioral therapy. Support groups. Lifestyle modifications.
Benzodiazepine Use Disorder,"Sedation, relaxation, reduced anxiety, drowsiness, poor coordination, memory impairment, withdrawal symptoms (such as rebound anxiety, insomnia, tremors) when attempting to stop or reduce benzodiazepine use, continued use despite negative consequences (such as relationship problems, health risks)","Dependence on benzodiazepines, often prescribed for anxiety or insomnia.",Gradual tapering of dosage. Behavioral therapy. Supportive care for withdrawal.
Hallucinogen Use Disorder,"Altered perception of reality, visual or auditory hallucinations, changes in sensory experiences, introspective thoughts, feelings of connection or disconnection, anxiety or paranoia (in some individuals), flashbacks (in some individuals)",Psychological dependence on hallucinogenic drugs like LSD or psilocybin.,Behavioral therapies. Support groups. Medical monitoring for complications.
"Sedative, Hypnotic, or Anxiolytic Use Disorder","Sedation, relaxation, reduced anxiety, drowsiness, poor coordination, memory impairment, withdrawal symptoms (such as rebound anxiety, insomnia, tremors) when attempting to stop or reduce use, continued use despite negative consequences (such as relationship problems, health risks)","Dependency on sedative medications, often leading to withdrawal symptoms.",Gradual tapering of medication. Behavioral therapy. Support groups for recovery.
Postpartum Depression,"Persistent feelings of sadness, emptiness, or hopelessness, frequent crying, irritability, loss of interest or pleasure in activities, difficulty bonding with the baby, changes in appetite or sleep patterns, overwhelming fatigue, feelings of guilt or worthlessness, trouble concentrating or making decisions, thoughts of self-harm or harming the baby","Depression occurring after childbirth, marked by sadness, fatigue, and difficulty bonding with the baby.",Psychotherapy or counseling. Antidepressant medications. Support from family and friends.
Coronary Atherosclerosis,"Chest pain or discomfort (angina), shortness of breath, fatigue, irregular heartbeat, dizziness, nausea, sweating, jaw or arm pain (in some cases), heart attack (when a coronary artery becomes completely blocked)","Hardening and narrowing of coronary arteries due to plaque buildup, leading to reduced blood flow to the heart.","Lifestyle changes, including a healthy diet, regular exercise, and smoking cessation. Use medications like statins to lower cholesterol, beta-blockers, or ACE inhibitors. Perform procedures such as angioplasty with stenting or coronary artery bypass surgery for severe cases."
Spondylitis,"Chronic back pain and stiffness, especially in the morning or after periods of inactivity, limited range of motion in the spine, fatigue, inflammation and pain in other joints (such as hips, shoulders, knees), discomfort or pain in the neck, difficulty maintaining proper posture, tenderness or swelling in affected areas, tingling or numbness in extremities in severe cases","Inflammation of the vertebrae, often associated with conditions like ankylosing spondylitis.",Physical therapy and exercise. Nonsteroidal anti-inflammatory drugs (NSAIDs). Biologic therapies for severe cases.
Pituitary Adenoma,"Headaches, vision problems (such as blurred vision or loss of peripheral vision), hormonal imbalances (such as excessive production or deficiency of specific hormones), fatigue, weight gain or loss, menstrual irregularities, infertility, erectile dysfunction, growth abnormalities in children, mood changes, cognitive impairments","A benign tumor in the pituitary gland, which may affect hormone production.",Medications to normalize hormone levels. Surgery for larger tumors. Radiation therapy if necessary.
Uterine Fibroids,"Heavy or prolonged menstrual periods, pelvic pain or pressure, frequent urination, difficulty emptying the bladder, constipation, backache, leg pain, enlarged abdomen or uterus, infertility or recurrent miscarriages (in some cases)","Non-cancerous growths in the uterus, which may cause heavy periods, pain, or fertility issues.",Medications to regulate hormones. Minimally invasive procedures like uterine artery embolization. Surgical options such as myomectomy or hysterectomy.
Idiopathic Nonmenstrual Bleeding,"Abnormal vaginal bleeding outside of the menstrual period, unpredictable bleeding episodes, bleeding after sexual intercourse, bleeding after menopause, spotting or light bleeding between periods, prolonged or heavy bleeding",Unexplained vaginal bleeding unrelated to the menstrual cycle.,Hormonal therapy. Diagnostic procedures to identify underlying causes. Surgical intervention if indicated.
Chalazion,"Painful, red lump or swelling on the eyelid, usually on the upper eyelid, sensitivity to light, blurred vision (if the chalazion affects the line of sight), mild discomfort, tenderness, localized inflammation and swelling",A small lump in the eyelid caused by a blocked oil gland.,Warm compresses to reduce swelling. Surgical drainage if persistent. Antibiotics if infection is present.
Ovarian Torsion,"Sudden and severe abdominal or pelvic pain on one side, sharp or stabbing pain, nausea, vomiting, fever, rapid heartbeat, abdominal tenderness, bloating, swelling, pain during intercourse, abnormal bleeding or spotting","Twisting of an ovary, cutting off its blood supply and causing severe abdominal pain.",Emergency surgical intervention to untwist the ovary. Oophorectomy if the ovary is nonviable.
Vaginal Yeast Infection,"Itching and irritation in the vagina and vulva, redness and swelling of the vulva, white, thick, clumpy vaginal discharge (resembling cottage cheese), burning sensation during urination, pain during sexual intercourse, rash or soreness in the affected area","Overgrowth of yeast in the vagina, causing itching, discharge, and irritation.","Antifungal medications, either oral or topical. Maintaining proper hygiene."
Mastoiditis,"Ear pain (particularly behind the ear), swelling and redness of the ear or the area behind the ear, fever, headache, hearing loss or impaired hearing, drainage of fluid or pus from the ear, earache, irritability (in infants and young children), tenderness or pain when touching the area, mastoid bone protrusion or swelling","Infection and inflammation of the mastoid bone behind the ear, often following untreated ear infections.",Antibiotics to treat infection. Surgery in severe cases to drain the mastoid.
Lung Contusion,"Chest pain (sharp or dull), difficulty breathing or shortness of breath, rapid or shallow breathing, coughing up blood or pink-tinged sputum, decreased oxygen levels, wheezing, cyanosis (bluish discoloration of the skin), chest wall bruising, rib fractures (associated injuries)","Bruising of the lung tissue, usually due to trauma, leading to impaired oxygen exchange.",Supportive care with oxygen therapy. Pain management. Mechanical ventilation for severe cases.
Hypertrophic Obstructive Cardiomyopathy (HOCM),"Shortness of breath, especially during physical activity or exertion, chest pain or discomfort, dizziness or lightheadedness, fainting or near-fainting episodes, heart palpitations (rapid or irregular heartbeat), fatigue, swelling in the ankles, feet, or legs","A condition where the heart muscle thickens abnormally, obstructing blood flow.",Medications like beta-blockers or calcium channel blockers. Surgical options like septal myectomy. Implantable defibrillators in severe cases.
Pulmonary Eosinophilia,"Cough, shortness of breath, wheezing, chest pain, fever, night sweats, fatigue, weight loss, elevated eosinophil count in the blood or sputum","Increased eosinophils in the lungs due to allergies, infections, or autoimmune conditions.",Treat underlying cause. Corticosteroids to reduce inflammation. Monitoring lung function.
